id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2UL2wKmovIqf0GpqZ2Irjn,Gabriellas s?ng,56,221240,0,"['Helen Sj?holm', 'Stefan Nilsson']","['6M5pgjMS5dVG0hGRh5xADx', '2dkyZHLWCFi08dA86UDu1A']",2004,0.299,0.38,8,-8.739,1,0.0299,0.698,1.83E-06,0.0883,0.107,88.377,4
36W3cbAruouTDpcy4nelv4,Murheellisten laulujen maa - 2007 Digital Remaster,41,198813,0,['Eppu Normaali'],['6KbCFHgM4basg1TvK3oEzv'],2007-1-1,0.701,0.689,11,-5.764,0,0.0235,0.0624,0,0.333,0.6,98.993,4
3FgrXi0L9lkaFJlNy5NZ0k,Sexy,57,231093,0,['French Affair'],['6ja9fzugcFkIEIXRw3Ie1E'],2008-7-18,0.73,0.938,1,-8.788,1,0.0313,0.234,0.0923,0.124,0.937,132.002,4
2MFkd5GrtVgVPjq25yPJXL,Junat ja naiset,31,214667,0,['Jenni Vartiainen'],['6PP1ZiMzBbTeRqGvhr3pV9'],2013-10-4,0.53,0.807,3,-5.1,0,0.0318,0.0381,1.24E-06,0.278,0.469,135.958,4
73s4yuT0ROuf9qKubiZPNW,Jumala (Vain el?m?? kausi 7),39,171240,0,['Cheek'],['5ZZqIQ25HQmufjjf2trwFO'],2017-9-29,0.535,0.605,0,-7.657,0,0.246,0.621,0,0.12,0.157,199.688,3
6Sf2YqGzNmVfSNpLFWuYbz,Rave in the Grave,63,162733,0,"['AronChupa', 'Little Sis Nora']","['5vCOdeiQt9LyzdI87kt5Sh', '1KYt3TMGpa1LtVi0m2A0F9']",2018-5-4,0.762,0.724,11,-6.309,0,0.0624,0.138,7.71E-05,0.187,0.775,132.051,4
5LAh3ij3AWheivzQkr1yso,Kokonaan,44,201371,0,['Le Fvbelos'],['6xr6YWVsGo5k0sqwjgRPhS'],2020-2-13,0.514,0.622,2,-4.346,1,0.196,0.137,0,0.137,0.552,92.389,4
52PTPYaUA6S5MKOTeLjZhx,Ma Tika Mai Ra,33,268440,0,['Ruia'],['3Gih9WaGhyWJUnSMKDNCLi'],2004,0.626,0.585,9,-7.233,1,0.0328,0.709,1.05E-05,0.112,0.905,149.979,4
0t6onfqBIfDeWRvLs3KcWr,Soothing Brown Waves with the Pouring Rain - Loopable with no fade,55,93452,0,"['Calming Rainforest Sounds', 'Rainfall', 'Rain Sounds', 'Rain for Deep Sleep', 'Thunderstorm Sleep']","['6k68ndrj5Z7KnpOEjEAO1d', '7627ANNGANFPPvxcqRvGJT', '5nSGBmlgUdqWNExnOX8VtV', '5BFLLBEz1g8FcRjBLCVt3e', '1vOatyeFzcgIItylCnL80I']",2015-7-14,0,4.28E-05,2,-18.683,1,0,0.194,0.999,0.718,0,0,0
0xh1wMMZlPBqNWUukggBuo,The Air I Breathe - Mix Cut,3,97903,0,"['Richard Durand', 'Christina Novelli']","['7wne8sUhTAJdIsnuO4GjnR', '1dbzT291PCwwYJK0l3Tr1n']",2018-12-14,0.457,0.986,0,-5.864,1,0.0604,0.00593,0.345,0.393,0.384,138.019,4
4DTfQauneAY5cjuTMTfSMQ,únicamente Tu,42,155667,0,['Felipe Pirela'],['6PbZObu8NuIhiU6L0OzkZN'],2006-1-1,0.582,0.496,2,-6.605,1,0.0378,0.773,0,0.193,0.448,116.087,4
4PlpweXkbp3c4hKdGsKO6x,Solo por el Mundo,25,333507,0,['Pascualillo Coronado'],['7BMiW1HenojOTDaJd2zhHv'],2004-7-27,0.597,0.841,11,-3.575,0,0.0501,0.123,0,0.28,0.831,113.417,4
7G07TQY484AhgzClY09cnN,Alcatraz,29,257360,0,['Perú Negro'],['5PsVU8lua3ri94gDn7zUIY'],2005-11-10,0.661,0.855,0,-5.96,1,0.111,0.258,0.0337,0.0681,0.948,127.472,4
6bFNt3JwLfsICuBZ5B8l13,Keep This Fire Burning,7,157804,0,"['Bolier', 'Joe Stone']","['65NscqgsoMPqBtoLbkP3jD', '4kwEd1P9j15ZqUVP5zK7Pv']",2018-12-28,0.561,0.881,7,-4.082,0,0.0465,0.0821,0,0.148,0.288,123.886,4
5ZAZG0fluBK2b6i1kz5yQ6,Ya No Me Hagas Llorar,41,312661,0,['Zafiro Sensual'],['4Q7VM42mp4eSWFLxUE30k1'],2019-4-27,0.366,0.798,1,-3.94,0,0.0391,0.436,0,0.153,0.82,109.003,4
3omvXShuRPM3zbDpWYqf5g,MORE & MORE,74,199653,0,['TWICE'],['7n2Ycct7Beij7Dj7meI4X0'],2020-6-1,0.739,0.841,5,-4.162,1,0.06,0.0312,0,0.173,0.562,106.99,4
2BOOZcN1iF4EVlCtg3FtwI,Mujer Marchita,41,226333,0,['Jorge O?ate'],['36nvA2snEFUkDbg5qI0ZiG'],2003,0.696,0.492,5,-5.649,1,0.0499,0.766,0,0.0576,0.956,141.613,4
20VDW3yRg65hK41V4U6voG,Ya No Le Camino Más,41,211000,0,['Walter Silva'],['7x3BHoSTK3FdNwmFTL4Vrp'],2008-9-9,0.66,0.81,5,-4.231,1,0.033,0.799,0,0.246,0.921,91.009,3
4lDhN4WR0ryTf1dRoEJqEd,Nuestro Secreto,31,324773,0,['Yan Collazo'],['6D9rSZLgUiBRupCIsfhErW'],2013-7-2,0.627,0.701,11,-7.877,0,0.0449,0.481,0.00536,0.321,0.532,95.573,4
0yuDUAywAo7G3kz0YWQS0B,Tengo un Dios,47,201012,0,['Silvestre Dangond'],['3OcvS8PzSGYMBvLdzY6g3e'],2020-12-3,0.933,0.934,7,-3.159,1,0.178,0.275,0,0.312,0.913,120.014,4
2dLr9Ieg6vfD0WwQQ2ctRh,???? ??? ??? ?? ???????? ?????,16,428307,0,['Meir Ariel'],['3DsvjLwGTdkVQZwGH6dqlc'],2002-1-1,0.454,0.359,7,-11.518,1,0.111,0.719,7.55E-05,0.29,0.197,135.987,3
72VsZnbAJspmfEgRlvo0Or,????,36,224200,0,['Harel Skaat'],['3kZ7g7lW0eeBtoNxtw6zZY'],2004-12-1,0.419,0.761,11,-5.537,1,0.0424,0.29,0,0.382,0.348,147.783,4
3veP41hqImUDYUhBbnZG90,??? ?? ??? ?????,38,228213,0,['Maor Cohen'],['2vPzfdWIYB3zCD8qEIvMM0'],2008-12-4,0.399,0.711,4,-4.316,0,0.0312,0.0038,3.48E-06,0.254,0.263,76.389,4
36vmx2QARfQXOQb9yrYbn4,???? ???,25,234693,0,['Moshe Peretz'],['2kOE3Jm5tMqLh65EiDkHJi'],2008-1-1,0.571,0.949,0,-3.662,0,0.0333,0.157,2.46E-06,0.133,0.87,120.03,4
0lFlZTOcJLnHrOUGz7X47q,?? ????,19,91813,0,['Uzi Hitman'],['4u07BYy4XMvytGO33GYKrQ'],2008-11-1,0.75,0.668,9,-7.099,1,0.0396,0.797,0,0.134,0.667,94.335,4
7u2wm0kKgZwrZJ2imWAj9p,???? ???,35,210293,0,['Ishay Ribo'],['3VTm1513t2LL1mSKzzyQuj'],2016-3-14,0.576,0.76,10,-8.267,1,0.0333,0.027,3.10E-05,0.378,0.44,151.074,4
3I1WAraNkbLEDxpCDaipRg,?????? ??????,41,193965,0,['Omer Adam'],['1IAEef07H0fd9aA8aUHUlL'],2020-1-1,0.548,0.52,7,-7.553,0,0.056,0.373,0,0.128,0.445,159.726,4
4SbVTkTVPaYY68x81JYCke,King,0,225200,0,['Years & Years'],['5vBSrE1xujD2FXYRarbAXc'],2020-7-3,0.552,0.854,4,-4.47,0,0.0487,0.0507,0,0.382,0.446,120.143,4
3PPHPKtda5AWLnknzBXu67,Hablan,46,205453,0,['Dread Mar I'],['1aw0Cdl1DIrtUrUA6fGbAR'],2007-5-1,0.773,0.412,6,-6.864,0,0.0468,0.231,3.36E-06,0.105,0.947,168.303,4
0949d3CMOa8BJUrsZ372pZ,Pon Aceite En Mi Lámpara Se?or,37,113398,0,"['Nuestro Legado', 'Iglesia de Cristo Ebenezer Honduras']","['3kCUp3XSMHD9Ua3lQOeu43', '1NZvTCQednmj9pWf0hwyLD']",2012-2-1,0.484,0.959,4,-4.967,1,0.0844,0.00362,2.55E-06,0.408,0.707,170.082,4
2sUknbm8xdLQgH7wb8xcTX,Por Mi México,71,218250,1,"['Lefty Sm', 'Santa Fe Klan']","['6eXHRfK9Ad3IpMpSAqvcDf', '4tm8CEdm4pkQsEh4jIr9Yp']",2020-6-19,0.782,0.662,1,-6.809,0,0.178,0.0345,0,0.216,0.821,80.008,4
2PHltMN9ECjHHo5qXx7Ox3,Mano Juokas,13,237326,0,['Sel'],['3x5BNVdaDxbzqEQOxPoQ5F'],2000-10-21,0.73,0.934,4,-6.594,0,0.104,0.0258,0.0152,0.115,0.572,133.098,4
7tnrwNBQWYExPuDV2WJBQL,Lendo - Calendo,47,211331,0,['Dan Balan'],['19rUh2xW9SuBUv5BflsdKq'],2013-7-23,0.592,0.949,6,-2.526,1,0.189,0.0881,0,0.266,0.539,112.014,4
0rMQ6rYjBveWB14UWapbL5,Патамушка,58,138838,0,['Мэвл'],['13zU7H0gYcY7xiy4W5DnPF'],2019-12-13,0.902,0.853,7,-4.608,1,0.131,0.0494,4.98E-06,0.0717,0.882,148.059,4
137SoQhzhrIq8KdHqhV6Th,Хубба Бубба,49,198434,0,['3-ий Январь'],['3SD5l2Q4EEHILJ3Cs7T2Sd'],2019-10-29,0.794,0.547,10,-8.442,1,0.152,0.745,6.12E-06,0.102,0.424,143.914,4
2rUsJXt4NeeDiIU6sBvrxo,All We Got (feat. KIDDO) - Ofenbach Remix,73,129814,1,"['Robin Schulz', 'KIDDO', 'Ofenbach']","['3t5xRXzsuZmMDkQzgOX35S', '5pXe6yFchq1oyYK3rq2A8i', '4AKwRarlmsUlLjIwt38NLw']",2020-11-13,0.803,0.796,6,-5.077,0,0.0343,0.0522,2.69E-05,0.25,0.549,114.95,4
49YRZyiiLtSgz6jCYyx0Cw,Rumbo,18,134867,0,['Braulio López'],['2liI7Y4mQ4W2Dxa280TXkt'],1999-3-7,0.735,0.536,6,-8.27,0,0.105,0.602,0.0109,0.178,0.523,86.538,4
4HXdfdOSjOxJ9JxfrJoZ2J,Como una Ladrona,13,246613,0,['Sonido Caracol'],['2QoRWNLJ6A9M8f9F0ovGcM'],1999-5-14,0.539,0.404,2,-10.969,1,0.0421,0.659,0,0.192,0.93,176.545,4
2t2mechUC2Kse69BHhyiDJ,Dangerous,33,246053,1,"['Kardinal Offishall', 'Akon']","['5P2rwRBgIN450RaJxdjYdA', '0z4gvV4rjIZ9wHck67ucSV']",2008-1-1,0.95,0.785,8,-5.956,1,0.0764,0.0043,0,0.0816,0.812,117.004,4
04HwcyaT3up8ewCX9iILIY,"Elena, Elena",17,385227,0,['Sonora Borinquen'],['1ydZgtUa3wPRwpHNLzz6MV'],2008-6-7,0.776,0.586,1,-5.991,1,0.0384,0.254,0,0.0807,0.648,115.573,4
5n1NGn7RHU30QxQHk0onlZ,Bien Warrior (feat. DJ Krass),47,222013,0,"['Miss Bolivia', 'DJ Krass']","['4xx3PjUWxXY0qEXUdDhrwx', '0Ft52aTdmeD5N2ncuniI0d']",2014-9-16,0.846,0.745,10,-6.629,1,0.0578,0.199,0,0.0488,0.95,138.035,3
0L6D8F3iFGJgqT5EjdoZ8x,Good Beginning,1,220193,0,['Oriental Music Zone'],['7IgLHADCmO8pOUAqR9kTo3'],2021-1-16,0.72,0.0985,2,-13.84,1,0.173,0.949,0.916,0.064,0.51,150.051,4
2U4hdD3EL8I27sf25uh0Xv,Cudzinka v tvojej zemi,47,244000,0,['XINDL X'],['2pQJyBmoLjRouM3bg8doKu'],2014-1-1,0.757,0.596,11,-6.991,0,0.0469,0.101,0,0.224,0.677,142.945,4
0N9Fccu5ESGwWPJ3MU9Yt5,alibababigbass,57,203000,1,['Gleb'],['6P55YsIOHmgooCXGQXcSga'],2021-3-1,0.635,0.671,8,-9.015,1,0.212,0.115,0,0.516,0.429,106.982,4
2H6KDQF2MMsiR4vyNDnOaQ,Nelligan: Act II: Prelude,13,108747,0,"['André Gagnon', 'Daniel Lavoie', 'Dominique Cote', 'Kathleen Fortin', 'Pierre Flynn', 'Richard Séguin', 'Sylvie Tremblay', 'Daniel Bélanger', 'Esther Gonthier', 'Gilles Ouellet orchestration', 'Orchestre Symphonique de Montréal', 'Jacques Lacombe']","['3dhwxSLiJOSyuQI5hSI6yV', '6S4WAihWktrOYeJdslsjcM', '23akPYDJaqpdRi0azAM6PH', '3BiITkS9oPkJfd52Zzb4M5', '6WpZmlaCRlz6u99w6JYjE2', '4uaplzxgAkmohdv30bAFZo', '61loHhm7C7Pg2EOUnvus7q', '3k0HFz1mMtmsaWYsX75MiW', '0OyNQdWyC81kL5Jl7yX67h', '1XHPk0TCTQLPGK4hDI73Bp', '4AcXapei4U7xnWecv9AEBd', '1ZTYJwCWZ5jAegHeVMaFzh']",2000-1-1,0.235,0.158,6,-16.672,0,0.0431,0.855,0.88,0.209,0.0323,49.486,4
6uGllanaOEl5aMRSZXrXJL,給愛麗斯,20,210904,0,['Eason Chan'],['2QcZxAgcs2I1q7CtCkl6MI'],2002-4-12,0.653,0.875,8,-4.525,0,0.0354,0.132,2.12E-06,0.112,0.737,132.505,4
1vQ6BQkWKHVZJd6nJhBy2z,唯獨你是不可取替 - Live,36,250733,0,['Eman Lam'],['3SJsybXfmMSrXcwpK56YuU'],2011-12-29,0.505,0.201,2,-16.477,1,0.0697,0.921,0,0.714,0.487,83.084,4
2msgWbc4Q9sY7esGISFiWx,"Um Grande, Grande Amor",32,178360,0,['José Cid'],['1oowLCcSBurZzYTpaR0Ep4'],2008-6-23,0.505,0.712,7,-8.375,1,0.0316,0.19,0,0.817,0.84,141.877,4
5e7sdfY7Qq4vv6PBDEGSeB,"E La E - Live in Sempach, Switzerland, 2012",3,300392,0,['Youngblood Brass Band'],['5QJZUg9ngYII5FkgAGFgW7'],2017-10-6,0.211,0.882,0,-9.423,1,0.337,0.00455,0.0239,0.961,0.422,90.741,4
2gXxA8NvXkv6RoOqkd4rYw,Rasopoulon,19,102080,0,['Giwrgos Orfanidis'],['783Uoql2hVVBZ454DbO3O3'],1999-11-14,0.381,0.404,11,-14.884,0,0.0748,0.464,0,0.349,0.394,143.963,3
4sl6cTE2geMgtm1GdTCOUS,Avatar,22,400825,1,"['Mani', 'Fi Vita Sigma', 'Rio']","['2t6NEGChLyMUnGnW1LupcS', '1tHNXjqv2f4qfAldD1hF5I', '5521NezFH11BqC62R1WCWW']",2011-11-1,0.469,0.433,4,-16.41,0,0.429,0.0761,0.000109,0.15,0.568,93.319,4
5SNxHRzOTTHDFdDSh6Axez,Shanty Man,54,207907,0,['The Fisherman’s Friends'],['0cyEKEh8fQkksmpwLBlZV4'],2002-1-1,0.532,0.132,2,-19.486,1,0.261,0.957,0,0.0832,0.83,176.025,4
6D7P6KUScLkN2IcTu1tbSA,Mississippi Mud,51,202627,0,['Hank Williams III'],['3qf2YoifC68WTsMv1YIGmh'],2002-1-29,0.744,0.795,7,-6.443,1,0.0444,0.189,0.000712,0.195,0.912,145.833,4
6cvxRRxNFyXexKnJBc0a1K,Rise Again (Mix Cut) - Omnia Remix,5,72733,0,"['Ronski Speed', 'Lucy Saunders', 'Omnia']","['3cOY6XMFQ12Q0D6Xif7BZh', '6yXkEpQnC8kNDoSHUa3U66', '0XZkeCAlpiO5qcIlAJzZaA']",2013-12-20,0.416,0.9,2,-7.16,1,0.0309,1.62E-05,0.826,0.221,0.263,131.979,4
2ZyuwVvV6Z3XJaXIFbspeE,Wild Things,64,188493,0,['Alessia Cara'],['2wUjUUtkb5lvLKcGKsKqsR'],2015-11-13,0.741,0.626,1,-4.826,0,0.0886,0.02,0,0.0828,0.706,108.029,4
59SlDgm0IKFbegSUeUOa2q,Somewhere over the Sea - 2017 Version,13,274893,0,["Blackmore's Night"],['5BnNG7QQQDTNd43ozx5y13'],2017,0.288,0.323,2,-9.616,0,0.034,0.722,0,0.226,0.229,179.582,3
41AeGy4sxailCTRajKF3oT,Rise - Acoustic Version,42,235160,0,['Gabrielle'],['7rftfGIYEeZ79sLb58ZBDi'],2001-1-1,0.663,0.324,8,-8.192,1,0.0292,0.71,5.07E-05,0.0842,0.276,132.575,4
3NFkQIacYw5yLHW9N1pTwt,The Balcony,45,232013,0,['The Rumour Said Fire'],['6WwzrdpJKQcGbMpHJfSTWj'],2009-1-1,0.335,0.666,11,-5.655,1,0.0301,0.816,4.96E-05,0.0888,0.518,182.689,4
0CJvDUBeEL1Rmpx7MH28CQ,For You,54,203547,0,['James TW'],['0B3N0ZINFWvizfa8bKiz4v'],2017-10-6,0.703,0.643,7,-5.544,1,0.0706,0.192,0,0.143,0.528,102.059,4
0H1KFrOz2ingjzOPx5BCF4,Undir Dalanna sól,6,202571,0,['álftagereisbr?eur'],['27rpFt3VI7jF78IX9OERqS'],2002-1-1,0.303,0.451,5,-9.57,1,0.0414,0.649,0,0.398,0.492,108.959,3
5b6DkBolW49SWKfVqtnu8P,Live á Gauk á St?ng,17,474012,0,['Skítamórall'],['0yGLmAg3Q8H8yEqWr8TFNy'],2003-1-1,0.471,0.961,9,-6.239,1,0.0931,0.0296,0.000221,0.0573,0.648,141.815,4
4tV0qcT1BDG5uLyD9e0UQq,Tú vilt ganga tinn veg,10,182973,0,['Einar S. ólafsson'],['67vTBKi66VRJOUmOTKUe2z'],2009-1-1,0.728,0.568,4,-7.726,1,0.0849,0.903,0.000323,0.0731,0.583,119.232,4
4EFrKYAOrrT0SC655kD5Ef,Malbik,35,195221,0,"['Emmsjé Gauti', 'Króli']","['46VwdSiSccsgzNhJP9sGhQ', '6yI1aFdfAnjSHaDnHBFAD9']",2019-10-11,0.702,0.608,2,-7.501,1,0.0577,0.276,0,0.0931,0.456,124.052,4
7tNIL53zRMumsAC19iCdrp,Un So?ador,38,212580,0,["Los Roller's"],['7mQa3XflwD72PWFe55CjWt'],1999-5-10,0.671,0.535,1,-7.335,1,0.0469,0.591,0.000114,0.216,0.847,80.002,4
7kDQyYrw2b8xYbuWotdm1Z,???????????,22,313267,0,['Flure'],['3Y1IqMgKZTXjsMyWOuxPPj'],2002-11-20,0.577,0.412,0,-13.099,0,0.0312,0.0546,0.119,0.0991,0.488,98.061,4
0nCOO5T4v2K7Zgr5uBbs5L,????????????????,22,65453,0,['Ocean Media'],['4rB5Y73t2uLCUYYmB3zXqN'],2003,0.524,0.141,8,-15.445,1,0.186,0.957,0,0.709,0.65,114.731,3
6rPIgbac75sYhvmVpvIAWw,Bol Pantolon Ve 70'lik - MRF Edit,49,237571,1,['No.1'],['4fR3W8XFXsqHB8f8IqEr1y'],2009-1-1,0.651,0.662,1,-9.367,1,0.0827,0.0135,0.00136,0.477,0.592,79.014,4
3uokib5yaVbbHSQIpQWLw6,???,32,230973,0,['Singular'],['5uxiKslHBfPTjs7RigWrL8'],2010-10-18,0.49,0.634,10,-6.315,1,0.0355,0.517,0,0.269,0.369,149.632,4
0JStm1Ns9Ya2zQhbqMDYEU,???(??????)??? (Same Page?),58,266750,0,['Tilly Birds'],['4esoPgrgPKbWa6gwU8EGmH'],2020-9-3,0.625,0.77,10,-5.333,1,0.0299,0.193,0,0.149,0.817,95.026,4
2ht9QvYzzSUod5T69TUVbR,1%,46,270138,0,['Stamp'],['4e3QCzBNkr0t3GGqo86Ofl'],2020-2-11,0.628,0.571,8,-7.57,1,0.035,0.577,3.04E-05,0.117,0.523,116.089,4
5jbz1Pwz06o9fPMYFrmTOP,Varherres Klinkekuler,33,187600,0,['Erik Bye'],['1qqBCY3Scz9Ea1mjkCDgaZ'],2004-1-1,0.519,0.25,11,-12.242,0,0.0594,0.915,0,0.126,0.345,92.713,4
4yAcdHEdXi0FKTlUrl2h8c,S?ng om ingenting - Radio Edit,46,221520,0,['Kobojsarna'],['2f6nzgQYDhQMVeHgDfuWJy'],2007-2-10,0.596,0.983,9,-3.639,1,0.227,0.00953,0,0.383,0.681,139.998,4
